band,band_center_um,scene,w0,w1,d0,d1,g,s0,s1,a,tau_base0,tau_base1,tau_shoulder0,tau_shoulder1,p
vis,0.575,desert,3.0699909786510444,-0.033469308129629,3.2270343982800007,-0.0110039777500943,0.5306639127895347,4.372471296024221,0.3227145974332926,0.3393391441906297,-2.9544155620082164,-0.4645568425715308,-1.1021000969239243,-0.0501921985589877,0.7181295202632489
vis,0.575,maritime,2.9263277362146805,-0.104182898987902,4.463416370313699,0.7736139802490093,0.5512119675110675,3.232939580107798,0.0856320111905512,0.6057443679054666,-0.0141727741470378,-1.264808191957169,-3.9459334226151217,-0.3834760776076879,0.9736352754916321
vis,0.575,rural,3.0218774601762144,-0.1273154267996149,4.2828718971800885,0.6739424939211784,0.4587849920837351,3.374097545935254,0.1457992193981153,1.9965177706417216,0.0828900029298944,-1.6670098956336188,-0.413670476589824,-0.7530899202474828,0.6210518051859582
nir,1.4,desert,1.590864979505915,-0.1445333315472518,1.406150009997344,0.272107614788541,0.5254808197350814,2.981573613863142,0.3868530242583763,0.20000000000000007,-7.410942229675091,1.9999999991859665,0.2227014606227349,-0.9180820692453604,0.551
nir,1.4,maritime,2.021008010532622,-0.09322603186952,3.297713955480245,0.6402777134422019,0.6612974358214035,2.7052190423879092,0.4555307407166294,2.098020141314503,11.588158898233337,1.998024027834584,-0.3684242995629496,-2.0,0.5615500611232762
nir,1.4,rural,1.508524844544791,-0.1092739715805068,1.554797284070783,0.2300430479834244,0.5266467482918021,0.4236851591752272,-0.1033485931984751,2.9463035034817326,-5.495107827618254,1.388194137564124,-1.0382692447646429,-2.0,0.551
mwir,3.95,desert,-1.4353006459391235,0.2659456544877114,-9.999999999999998,2.9999999999999996,0.5139780003721398,-1.5454896717389015,0.0217860721199402,0.20000000000000007,-11.383421434640422,-1.4354295732879156,-3.673473216577484,-0.7070399600906411,0.551
mwir,3.95,maritime,-1.722650537759809,-0.1297096801822365,-1.9445314564364455,1.3681210567228288,0.535557054587513,-1.3161624547246025,0.0752553463228711,0.5485767184380321,-5.944781180774157,1.8210455723494805,-3.3367336153115628,-2.0,0.551
mwir,3.95,rural,-1.4918204016757042,0.2027072691090008,-9.999999999999998,2.9999999999999996,0.6423440677045679,-1.5922584261001165,0.0168696078083886,0.20000000000000007,-8.816908496035067,-0.3321648083768901,-5.915291773192586,-0.0849651997629837,1.6907511299300544
