scene,scenario_count,raw_row_count,mean_r2,median_r2,mean_nrmse,mean_highangle_nrmse,mean_tail150_nrmse,mean_raw_point_coverage,worst_scenario,worst_r2
desert,39,669279,0.9917829818763815,0.9968231556548857,0.015058710784706246,0.04601985976356366,0.07508877245896062,0.9953823120623096,desert_mwir_2km,0.9379459465289358
maritime,39,669279,0.9962355231971688,0.9975096327413169,0.010956190825740975,0.024396530682923193,0.031260765927933094,0.9969820167322166,maritime_vis_4km,0.9797323953136265
rural,39,669279,0.9938994291912777,0.997289760686764,0.013651538488858587,0.026311463071992065,0.035860788385653,0.9969078686853868,rural_mwir_2km,0.9452925058193556
