band,scenario_count,raw_row_count,mean_r2,median_r2,mean_nrmse,mean_highangle_nrmse,mean_tail150_nrmse,mean_raw_point_coverage,worst_scenario,worst_r2
vis,39,669279,0.9957570776530702,0.9974202769704578,0.012067459895264717,0.01978312439796964,0.03051870831188289,0.9961521896549277,maritime_vis_4km,0.9797323953136265
nir,39,669279,0.9970068075547754,0.9976952290785899,0.011371294688710723,0.04434704558732445,0.06798526617402648,0.9980169341518018,rural_nir_2km,0.9883867456659888
mwir,39,669279,0.9891540490569819,0.9937946942649138,0.016227685515330364,0.03259768353318483,0.04370635228663739,0.9951030736731837,desert_mwir_2km,0.9379459465289358
