scenario_name,band,scene,visibility_km,raw_row_count,evaluated_raw_count,envelope_point_count,r2,nrmse,highangle_nrmse,tail150_nrmse,raw_point_coverage,raw_ratio_p95,raw_ratio_p99
desert_mwir_2km,mwir,desert,2.0,17161,16253,33,0.9379459465289358,0.05099773897418436,0.10037112040197495,0.15257237498387277,0.9982157140220267,0.8379556379609978,0.9687016351213444
desert_mwir_4km,mwir,desert,4.0,17161,16253,33,0.9943501286603128,0.015278661508876794,0.08763475268761901,0.12700850418412662,0.9966775364548084,0.8279442947550696,0.9859990970130753
desert_mwir_5km,mwir,desert,5.0,17161,16253,33,0.9935263315331051,0.016460095401209775,0.0841215698250437,0.12020245487622425,0.9927398018827294,0.8128519916739309,0.9929048849593148
desert_mwir_7.5km,mwir,desert,7.5,17161,16253,33,0.9831617035773479,0.02582579391444183,0.07727928359368445,0.10859793710475633,0.9887405402079616,0.7795083915713892,1.0036341132921787
desert_mwir_10km,mwir,desert,10.0,17161,16253,33,0.9784849610008911,0.028547519821377536,0.07195892323009338,0.1004847501856097,0.987017781332677,0.7560550286668173,1.0088472425986623
desert_mwir_12km,mwir,desert,12.0,17161,16253,33,0.980114588524146,0.026971845154460956,0.06888556163973676,0.09556913611783444,0.9872638897434319,0.7374707319506592,1.008100701614281
desert_mwir_15km,mwir,desert,15.0,17161,16253,33,0.9860438529474587,0.022043911185460043,0.06504329685338546,0.08936421167710566,0.9880637420783855,0.7173448983472553,1.0062004541602538
desert_mwir_18km,mwir,desert,18.0,17161,16253,33,0.991454844023317,0.016843965500819392,0.061834814903532986,0.08417760534372637,0.9890481757214052,0.7035044774291699,1.0025145123589083
desert_mwir_20km,mwir,desert,20.0,17161,16253,33,0.9925787315132587,0.015456243580482606,0.06014423028683517,0.0812898070425316,0.9900941364671138,0.696778636371607,0.9997659998797227
desert_mwir_22km,mwir,desert,22.0,17161,16253,33,0.9903938761831257,0.017316282838058382,0.058521752055681525,0.07852395983668065,0.9909555159047561,0.6908691438502843,0.9978874536439876
desert_mwir_25km,mwir,desert,25.0,17161,16253,33,0.9828311080240782,0.022711502298427482,0.05630027234826445,0.07475813899013128,0.9919399495477758,0.6849097242842828,0.9956803577373511
desert_mwir_28km,mwir,desert,28.0,17161,16253,33,0.9723964445083624,0.028339990746995395,0.0540914457728699,0.07123996778121096,0.9926167476773519,0.6814638950118085,0.9943586854571156
desert_mwir_30km,mwir,desert,30.0,17161,16253,33,0.9632242890017735,0.03237966209540915,0.05278767691199438,0.06909548978733716,0.993047437396173,0.6796623513207948,0.9938499168904321
maritime_mwir_2km,mwir,maritime,2.0,17161,16253,33,0.9886569115118075,0.019372971446073244,0.04579203208734423,0.060862677075966216,0.9928628560881068,0.9684449303382846,0.9950828735807077
maritime_mwir_4km,mwir,maritime,4.0,17161,16253,33,0.9974834978696667,0.009730153043616494,0.014879403504648952,0.02090953086110278,0.9966160093521196,0.9409306582912852,0.9812278581098716
maritime_mwir_5km,mwir,maritime,5.0,17161,16253,33,0.9985795737915257,0.00744896617627233,0.01081943174043532,0.014724912419806873,0.9974773887897619,0.9283177024812321,0.9744772135587186
maritime_mwir_7.5km,mwir,maritime,7.5,17161,16253,33,0.9992294553905616,0.005653345498584029,0.018646361110874515,0.0255373172127157,0.9985233495354704,0.898307724888583,0.9593738939288261
maritime_mwir_10km,mwir,maritime,10.0,17161,16253,33,0.9990700985944144,0.006257381742429506,0.021903837432005937,0.029940607211244457,0.9982772411247154,0.8881166076849105,0.9587714732916633
maritime_mwir_12km,mwir,maritime,12.0,17161,16253,33,0.9992091427577812,0.005821390996425008,0.02021886862194031,0.028176927543219085,0.9984002953300929,0.878277827800193,0.960651592249176
maritime_mwir_15km,mwir,maritime,15.0,17161,16253,33,0.9985674451000369,0.0077568313104605146,0.016478279531175408,0.023180588418760088,0.9985848766381591,0.8642782338868861,0.9669536714750091
maritime_mwir_18km,mwir,maritime,18.0,17161,16253,33,0.9987350954908227,0.0072964072028332844,0.013289760957333002,0.018700904985410813,0.9987079308435366,0.8495204360735245,0.9730687895956804
maritime_mwir_20km,mwir,maritime,20.0,17161,16253,33,0.9992553051794384,0.005668645504896743,0.011510300994749676,0.016152963237610334,0.9987694579462253,0.8387960945281672,0.9770428536645219
maritime_mwir_22km,mwir,maritime,22.0,17161,16253,33,0.9992531437194131,0.0057194754895547725,0.010087627609890093,0.01409932139303819,0.9987694579462253,0.8268014850026868,0.9808999235386273
maritime_mwir_25km,mwir,maritime,25.0,17161,16253,33,0.9994799108748885,0.004728558389356838,0.008512726189918638,0.01193695878215054,0.9987079308435366,0.8134440490453494,0.9859034206323319
maritime_mwir_28km,mwir,maritime,28.0,17161,16253,33,0.9994229879088788,0.004944510913600047,0.007453782056599475,0.0105102531381016,0.9987079308435366,0.8036630849749401,0.9901843897246908
